,Player,Team,GP,G,A,Pts,+/-,PN,PIM,S,SB,MS,H,GV,TK,BS,FW,FL,F%,Year
432,Caleb Jones,CHI,73,4,12,16,-19,20,40,84,69,40,116,49,29,117,0,0,0,2023
433,Kevin Rooney,CGY,17,0,1,1,-2,2,7,14,6,7,26,3,4,10,44,61,41.9,2023
434,Nazem Kadri,CGY,82,24,31,55,-18,20,56,273,111,116,101,51,34,31,590,657,47.31,2023
435,Elias Lindholm,CGY,80,23,41,64,7,7,14,186,76,79,98,33,42,49,860,678,55.92,2023
436,Milan Lucic,CGY,77,7,12,19,-11,16,43,72,36,37,168,27,29,15,17,22,43.59,2023
437,Trevor Lewis,CGY,82,9,10,19,-7,9,18,144,36,44,158,13,29,33,131,178,42.39,2023
438,Chris Tanev,CGY,65,1,12,13,8,9,21,75,64,24,51,34,24,130,0,0,0,2023
439,Tyler Toffoli,CGY,82,34,40,74,17,12,28,268,113,97,59,32,41,14,7,5,58.33,2023
440,Brett Ritchie,CGY,52,8,5,13,-1,11,25,68,22,21,77,18,10,9,2,2,50,2023
441,Nikita Zadorov,CGY,82,14,8,22,12,32,80,130,93,43,174,57,31,75,0,0,0,2023
442,Andrew Mangiapane,CGY,82,17,26,43,12,20,40,182,87,74,86,32,48,26,5,9,35.71,2023
443,Noah Hanifin,CGY,81,7,31,38,0,14,33,179,128,84,76,54,58,130,0,0,0,2023
444,Rasmus Andersson,CGY,79,11,39,50,3,13,26,160,81,64,50,54,29,138,0,0,0,2023
445,MacKenzie Weegar,CGY,81,4,27,31,14,20,43,163,132,73,189,62,39,121,0,0,0,2023
446,Mikael Backlund,CGY,82,19,36,55,23,17,36,262,80,85,98,44,61,33,716,694,50.78,2023
447,Jonathan Huberdeau,CGY,79,15,39,54,3,17,34,126,48,59,65,62,34,27,5,10,33.33,2023
448,Dillon Dube,CGY,82,18,27,45,-6,18,47,151,60,56,137,28,24,21,45,55,45,2023
449,Blake Coleman,CGY,82,18,20,38,8,25,54,188,68,76,109,32,36,40,21,22,48.84,2023
450,Michael Stone,CGY,48,6,5,11,3,16,35,92,76,39,54,15,6,59,0,0,0,2023
451,Miro Heiskanen,DAL,79,11,62,73,12,16,32,205,160,75,49,65,53,96,0,0,0,2023
452,Joel Kiviranta,DAL,70,8,1,9,-10,18,40,85,31,28,117,13,29,20,3,7,30,2023
453,Nils Lundkvist,DAL,60,6,10,16,-5,13,26,94,67,35,49,32,6,68,0,0,0,2023
454,Tyler Seguin,DAL,76,21,29,50,2,12,24,192,47,65,85,36,29,24,483,397,54.89,2023
455,Jani Hakanpaa,DAL,33,4,4,8,9,15,36,31,31,24,91,19,4,54,0,0,0,2023
456,Joe Pavelski,DAL,82,28,48,76,42,4,8,185,74,78,93,57,32,64,367,321,53.34,2023
457,Jason Robertson,DAL,82,46,63,109,38,10,20,309,152,98,57,67,62,19,0,1,0,2023
458,Wyatt Johnston,DAL,82,24,17,41,6,10,20,163,73,49,23,56,48,32,147,196,42.86,2023
459,Denis Gurianov,DAL,66,7,10,17,-9,5,10,116,59,52,43,34,16,27,0,1,0,2023
460,TY Dellandrea,DAL,82,9,19,28,9,23,54,93,40,42,125,25,22,40,102,98,51,2023
461,Michael McCarron,NSH,34,2,2,4,-3,9,24,39,16,17,75,2,7,20,63,43,59.43,2023
462,Mason Marchment,DAL,68,12,18,30,-6,29,80,149,54,62,88,41,38,39,10,15,40,2023
463,Radek Faksa,DAL,81,11,9,20,8,18,39,86,22,33,90,18,26,69,309,243,55.98,2023
464,Luke Glendening,DAL,70,3,3,6,-9,13,40,65,28,43,114,8,11,60,357,249,58.91,2023
465,Colin Miller,DAL,79,6,15,21,22,17,37,109,103,64,108,48,29,69,0,0,0,2023
466,Roope Hintz,DAL,74,37,38,75,32,15,30,184,65,67,47,38,26,44,249,230,51.98,2023
467,Ryan Suter,DAL,82,3,21,24,-1,13,26,93,85,61,81,45,23,116,0,0,0,2023
468,Jamie Benn,DAL,82,33,46,79,23,14,34,190,78,61,96,48,55,38,518,344,60.09,2023
469,Esa Lindell,DAL,82,8,16,24,31,5,10,116,82,33,86,56,31,147,0,0,0,2023
470,Tyson Jost,MIN,71,7,18,25,-13,14,34,98,32,44,61,8,24,32,175,276,38.8,2023
471,Marco Rossi,MIN,20,0,1,1,-7,4,8,13,7,8,6,2,5,9,69,77,47.26,2023
472,Sam Steel,MIN,65,10,18,28,11,9,18,84,30,34,46,22,21,15,308,324,48.73,2023
473,Jonas Brodin,MIN,61,3,11,14,12,15,30,91,56,35,50,23,27,130,0,0,0,2023
474,Mats Zuccarello,MIN,78,22,46,68,-2,13,26,201,104,82,51,44,45,51,24,36,40,2023
475,Ryan Hartman,MIN,59,15,21,36,7,34,90,149,50,75,62,32,30,48,243,321,43.09,2023
476,Alex Goligoski,MIN,48,2,4,6,-8,8,16,64,42,12,33,17,9,69,0,0,0,2023
477,Kirill Kaprizov,MIN,67,42,34,76,6,17,37,271,127,112,66,54,50,28,2,3,40,2023
478,Matt Dumba,MIN,80,4,10,14,-9,31,81,99,98,61,104,35,17,116,0,0,0,2023
479,Jared Spurgeon,MIN,79,11,23,34,33,7,14,149,77,63,66,20,15,180,0,0,0,2023
480,Matt Boldy,MIN,81,31,32,63,1,18,39,255,107,125,65,42,51,27,77,64,54.61,2023
481,Calen Addison,MIN,63,3,26,29,-17,11,22,79,49,29,19,21,10,38,0,0,0,2023
482,Joel Eriksson Ek,MIN,78,23,37,60,4,22,44,246,61,88,119,14,44,55,683,702,49.31,2023
483,Connor Dewar,MIN,81,6,12,18,-5,13,40,87,45,38,124,10,18,50,222,281,44.14,2023
484,Marcus Foligno,MIN,66,7,14,21,-6,26,97,83,28,41,237,25,27,40,7,7,50,2023
485,Dryden Hunt,NYR,37,3,0,3,-10,8,24,23,9,10,100,2,5,4,1,2,33.33,2023
486,Brandon Duhaime,MIN,51,9,1,10,6,15,42,81,24,35,146,10,19,18,4,10,28.57,2023
487,Jacob Middleton,MIN,15,1,3,4,5,7,14,20,10,6,17,6,3,24,0,0,0,2023
488,Frederick Gaudreau,MIN,82,19,19,38,10,5,10,137,38,30,42,21,42,52,501,515,49.31,2023
489,Josh Mahura,FLA,82,4,12,16,16,15,38,80,76,41,101,25,12,71,0,0,0,2023
490,Anton Lundell,FLA,75,12,21,33,1,19,43,152,63,42,29,41,37,32,269,309,46.54,2023
491,Aleksander Barkov,FLA,69,23,54,77,11,4,8,208,65,72,52,38,56,47,732,602,54.87,2023
492,Casey Cizikas,NYI,81,6,15,21,1,20,49,109,40,38,188,28,35,58,500,439,53.25,2023
493,Kieffer Bellows,NYI,30,3,1,4,-8,3,6,32,21,9,48,8,5,10,3,15,16.67,2023
494,Kyle Palmieri,NYI,55,16,16,32,13,12,24,121,58,59,76,20,13,18,9,16,36,2023
495,Anthony Beauvillier,NYI,82,18,22,40,-10,11,24,175,52,57,78,34,31,30,3,10,23.08,2023
496,Matthew Tkachuk,FLA,79,40,69,109,27,36,113,316,113,99,68,62,38,33,13,16,44.83,2023
497,Colin White,FLA,69,8,7,15,-1,6,12,64,24,26,61,16,14,29,84,111,43.08,2023
498,Mathew Barzal,NYI,58,14,38,52,7,11,22,139,59,56,25,68,48,33,105,188,35.84,2023
499,Zach Parise,NYI,82,20,12,32,7,12,24,181,45,48,89,25,18,82,12,18,40,2023
500,Brandon Montour,FLA,80,16,56,72,8,32,107,244,118,95,92,51,33,94,0,0,0,2023
501,Patric Hornqvist,FLA,22,1,1,2,-3,5,13,40,11,15,18,0,5,8,1,5,16.67,2023
502,Carter Verhaeghe,FLA,81,42,32,74,11,24,48,275,116,77,29,56,34,31,20,21,48.78,2023
503,Jean-Gabriel Pageau,NYI,70,13,27,40,-2,7,14,123,30,49,175,35,33,62,717,535,57.27,2023
504,Ryan Pulock,NYI,82,5,21,26,10,7,14,126,112,59,140,37,22,127,0,0,0,2023
505,Marc Staal,FLA,82,3,13,16,8,16,43,53,57,46,151,25,14,120,0,0,0,2023
506,Eetu Luostarinen,FLA,82,17,24,41,17,12,28,133,53,56,64,43,47,53,175,243,41.87,2023
507,Adam Pelech,NYI,61,6,15,21,14,18,36,98,78,55,77,38,31,108,0,0,0,2023
508,Alexander Romanov,NYI,76,2,20,22,13,20,43,100,101,34,198,54,25,129,0,0,0,2023
509,Nick Cousins,FLA,79,9,19,28,-3,16,38,101,39,35,87,18,20,36,71,74,48.97,2023
510,Nikita Soshnikov,NYI,3,0,0,0,-2,0,0,4,1,4,8,1,0,0,0,1,0,2023
511,Ryan Lomberg,FLA,82,12,7,19,-1,29,83,132,28,55,149,13,30,25,15,15,50,2023
512,Radko Gudas,FLA,74,2,15,17,12,35,79,108,82,54,312,36,20,131,0,0,0,2023
513,Gustav Forsling,FLA,82,13,29,42,17,20,40,209,139,65,69,47,40,101,0,0,0,2023
514,Rudolfs Balcers,FLA,17,3,2,5,-1,2,4,24,10,4,7,4,2,4,0,2,0,2023
515,Josh Bailey,NYI,64,8,17,25,3,1,2,72,21,23,11,47,21,31,41,55,42.71,2023
516,Noah Dobson,NYI,78,13,36,49,4,10,20,206,172,102,60,49,39,105,0,0,0,2023
517,Sam Reinhart,FLA,82,31,36,67,-12,7,22,224,77,101,58,38,35,50,236,228,50.86,2023
518,Brock Nelson,NYI,82,37,38,75,14,12,24,223,118,76,50,40,48,42,490,547,47.25,2023
519,Anders Lee,NYI,82,28,21,49,-2,22,50,211,33,89,125,35,25,57,27,24,52.94,2023
520,Aaron Ekblad,FLA,71,14,24,38,-16,29,68,217,93,67,77,64,29,80,0,0,0,2023
521,Scott Mayfield,NYI,82,6,19,25,8,30,73,119,122,54,107,64,21,168,1,0,100,2023
522,Sam Bennett,FLA,65,16,23,39,2,26,54,189,67,61,150,40,38,35,427,477,47.23,2023
523,Robin Salo,NYI,11,2,2,4,1,2,4,9,9,1,6,6,1,13,0,0,0,2023
524,Matt Martin,NYI,81,7,12,19,3,17,63,81,39,41,295,20,15,42,9,18,33.33,2023
525,Ilya Lyubushkin,BUF,68,2,12,14,-2,19,38,41,25,11,99,20,27,101,0,0,0,2023
526,Peyton Krebs,BUF,74,9,17,26,-9,21,50,76,32,31,93,28,19,19,252,304,45.32,2023
527,Mark Kastelic,OTT,66,7,4,11,-5,23,102,73,19,27,154,15,19,36,335,254,56.88,2023
528,Tim StÜtzle,OTT,78,39,51,90,-1,27,54,229,119,93,114,61,61,51,202,284,41.56,2023
529,Henri Jokiharju,BUF,60,3,9,12,-13,15,30,79,50,24,63,33,20,58,0,0,0,2023
530,Rasmus Dahlin,BUF,78,15,57,72,12,42,92,204,110,63,105,61,45,135,0,0,0,2023
531,Tyler Motte,OTT,62,8,10,18,4,3,6,106,43,31,118,27,29,61,21,30,41.18,2023
532,Dylan Cozens,BUF,81,31,37,68,-2,18,39,212,62,62,55,20,36,31,567,607,48.3,2023
533,Rasmus Asplund,BUF,46,2,6,8,-6,2,4,54,8,14,23,4,8,11,22,33,40,2023
534,Thomas Chabot,OTT,69,11,29,40,-11,27,54,168,126,64,79,65,19,122,0,0,0,2023
535,Alex Debrincat,OTT,82,27,39,66,-30,13,45,263,124,85,109,39,44,38,10,9,52.63,2023
536,Zemgus Girgensons,BUF,80,10,8,18,-5,7,14,114,35,53,96,8,22,48,94,112,45.63,2023
537,Travis Hamonic,OTT,76,6,16,22,-5,30,71,135,98,44,109,64,22,143,0,0,0,2023
538,Austin Watson,OTT,75,9,2,11,-6,30,123,79,24,36,165,21,19,60,7,8,46.67,2023
539,Kyle Okposo,BUF,76,11,17,28,-7,17,34,150,50,40,78,22,28,24,164,187,46.72,2023
540,Alex Tuch,BUF,74,36,43,79,15,10,20,219,55,91,54,38,63,46,32,43,42.67,2023
541,Josh Norris,OTT,8,2,1,3,-1,3,6,15,9,7,7,3,6,6,34,23,59.65,2023
542,Jake Sanderson,OTT,77,4,28,32,-7,6,12,131,87,60,43,52,33,146,0,0,0,2023
543,Artem Zub,OTT,53,3,7,10,2,18,39,41,46,22,132,31,8,67,0,0,0,2023
544,Shane Pinto,OTT,82,20,15,35,-21,9,18,158,48,63,71,32,38,50,448,414,51.97,2023
545,Mathieu Joseph,OTT,56,3,15,18,5,14,36,67,30,29,80,18,24,28,3,6,33.33,2023
546,Tage Thompson,BUF,78,47,47,94,5,18,39,297,133,117,55,40,43,26,350,465,42.94,2023
547,Drake Batherson,OTT,82,22,39,61,-35,15,33,249,80,113,115,38,38,35,13,25,34.21,2023
548,Jeff Skinner,BUF,80,35,47,82,16,13,29,240,102,88,21,46,41,14,143,155,47.99,2023
549,Brady Tkachuk,OTT,82,35,48,83,-10,39,126,345,72,140,242,51,30,8,371,394,48.5,2023
550,Parker Kelly,OTT,56,1,3,4,-9,14,37,59,21,20,172,12,18,26,6,6,50,2023
551,Victor Olofsson,BUF,76,28,12,40,-22,2,4,161,64,48,16,22,24,15,1,5,16.67,2023
552,Casey Mittelstadt,BUF,82,15,44,59,-9,7,22,134,50,43,30,42,50,17,338,399,45.86,2023
553,Nick Holden,OTT,65,2,13,15,1,5,10,73,50,27,79,31,10,68,0,0,0,2023
554,Mattias Samuelsson,BUF,55,2,8,10,14,10,20,76,34,26,107,21,21,91,0,0,0,2023
555,Claude Giroux,OTT,82,35,42,77,6,17,34,212,65,78,75,32,52,30,714,505,58.57,2023
556,Jacob Bryson,BUF,61,1,8,9,-24,4,8,27,18,13,34,8,13,70,0,0,0,2023
557,JJ Peterka,BUF,77,12,20,32,-16,12,26,125,58,55,18,19,22,10,5,4,55.56,2023
558,Owen Power,BUF,80,4,32,36,12,12,24,130,68,31,27,51,25,85,0,0,0,2023
559,Erik Brannstrom,OTT,74,3,15,18,5,19,38,75,90,36,49,48,28,100,0,0,0,2023
560,Jack Quinn,BUF,75,14,22,36,-8,6,15,127,70,60,43,30,28,19,11,22,33.33,2023
561,Joel Farabee,PHI,82,15,24,39,-1,16,41,144,66,47,71,39,25,45,16,29,35.56,2023
562,Owen Tippett,PHI,77,27,22,49,-18,8,16,231,101,83,125,25,44,69,19,11,63.33,2023
563,Tomas Tatar,N.J,82,20,28,48,41,15,30,149,63,62,65,35,35,29,18,26,40.91,2023
564,Yegor Sharangovich,N.J,76,13,17,30,-3,8,16,132,53,52,22,30,40,41,25,53,32.05,2023
565,Tanner Laczynski,PHI,32,2,1,3,-5,1,2,23,13,8,30,3,10,9,50,47,51.55,2023
566,Dougie Hamilton,N.J,82,23,52,75,23,25,50,277,182,103,64,74,21,87,0,0,0,2023
567,Nicolas Deslauriers,PHI,81,6,6,12,-11,31,136,70,24,37,305,8,13,26,3,8,27.27,2023
568,Ryan Graves,N.J,78,8,18,26,34,14,28,141,106,42,83,47,23,153,0,0,0,2023
569,Michael McLeod,N.J,80,4,22,26,7,13,43,90,41,32,127,29,31,51,587,381,60.64,2023
570,Tony Deangelo,PHI,70,11,31,42,-27,19,65,173,71,42,52,57,25,78,0,0,0,2023
571,Ivan Provorov,PHI,82,6,21,27,-16,12,24,115,82,59,97,85,34,160,0,0,0,2023
572,Nathan Bastian,N.J,43,6,9,15,8,11,31,63,13,27,100,6,11,38,11,26,29.73,2023
573,Travis Konecny,PHI,60,30,31,61,-10,29,77,190,86,81,55,26,34,37,29,31,48.33,2023
574,Miles Wood,N.J,76,13,15,28,0,26,76,165,50,59,100,33,16,19,1,5,16.67,2023
575,Jesper Bratt,N.J,82,32,41,73,14,3,6,212,78,91,24,44,41,23,0,0,0,2023
576,James Van Riemsdyk,PHI,61,12,16,28,-3,14,28,118,36,42,18,10,24,20,7,7,50,2023
577,Travis Sanheim,PHI,81,7,16,23,-6,20,40,111,54,42,61,42,22,137,0,0,0,2023
578,Morgan Frost,PHI,82,19,26,45,-13,12,24,155,71,51,85,26,38,53,437,514,45.95,2023
579,Jesper Boqvist,N.J,70,10,11,21,8,1,2,67,41,28,50,28,22,20,67,132,33.67,2023
580,Egor Zamula,PHI,14,0,4,4,0,1,2,9,10,2,9,9,2,13,0,0,0,2023
581,Alexander Holtz,N.J,19,3,1,4,-6,4,8,21,14,12,6,7,3,4,0,0,0,2023
582,Noah Cates,PHI,82,13,25,38,3,6,12,107,47,44,86,13,60,64,416,638,39.47,2023
583,Ondrej Palat,N.J,49,8,15,23,4,3,6,79,40,30,70,25,22,44,0,9,0,2023
584,Hayden Hodgson,PHI,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023
585,Brendan Smith,N.J,60,0,5,5,3,27,63,57,45,25,102,31,25,77,0,0,0,2023
586,Jonas Siegenthaler,N.J,80,4,17,21,26,22,44,84,55,51,101,36,29,149,0,0,0,2023
587,Wade Allison,PHI,60,9,6,15,-4,11,36,88,25,43,190,7,20,63,1,5,16.67,2023
588,Nick Seeler,PHI,78,4,10,14,1,22,56,84,54,25,126,24,9,162,0,0,0,2023
589,Kevin Hayes,PHI,81,18,36,54,-23,10,23,210,90,86,52,35,40,23,335,340,49.63,2023
590,Scott Laughton,PHI,78,19,24,43,-8,21,50,171,60,47,155,42,35,56,510,567,47.35,2023
591,Jack Hughes,N.J,78,43,56,99,11,3,6,336,131,85,13,86,60,31,164,302,35.19,2023
592,Erik Haula,N.J,80,14,26,40,12,21,47,163,59,71,92,30,49,54,573,483,54.26,2023
593,Justin Braun,PHI,54,0,2,2,-1,8,19,42,32,26,47,10,10,49,0,0,0,2023
594,John Marino,N.J,64,4,14,18,22,10,20,67,53,24,44,38,43,81,0,0,0,2023
595,Damon Severson,N.J,81,7,26,33,10,15,38,102,100,43,44,41,28,116,0,0,0,2023
596,Dawson Mercer,N.J,82,27,29,56,23,7,14,160,59,55,36,35,22,61,70,94,42.68,2023
597,Liam O'Brien,ARI,56,3,8,11,-4,32,114,39,18,17,203,20,6,28,4,11,26.67,2023
598,Pierre-Olivier Joseph,PIT,77,5,16,21,8,21,44,109,83,30,88,33,38,35,0,0,0,2023
599,J.J. Moser,ARI,82,7,24,31,-13,15,33,93,84,35,80,43,14,136,0,0,0,2023
600,Dysin Mayo,ARI,15,0,0,0,-8,4,8,7,3,5,30,8,2,19,0,0,0,2023
601,Danton Heinen,PIT,67,8,14,22,-5,6,12,95,38,29,76,16,24,25,2,3,40,2023
602,Rickard Rakell,PIT,82,28,32,60,-5,8,16,247,98,96,141,43,29,54,10,13,43.48,2023
603,Nick Schmaltz,ARI,63,22,37,59,3,10,20,132,58,61,12,54,61,28,41,59,41,2023
604,Zack Kassian,ARI,51,2,0,2,-17,14,50,25,11,9,32,19,9,8,3,5,37.5,2023
605,Jack McBain,ARI,82,12,14,26,-5,26,64,85,31,33,304,30,26,51,370,469,44.1,2023
606,Jason Zucker,PIT,78,27,21,48,-2,17,47,198,55,85,198,39,35,28,4,11,26.67,2023
607,Jake Guentzel,PIT,78,36,38,74,1,22,46,244,103,105,84,48,45,47,8,8,50,2023
608,Brian Dumoulin,PIT,82,1,24,25,-5,8,16,82,70,39,123,40,36,141,0,0,0,2023
609,Marcus Pettersson,PIT,68,1,23,24,5,22,58,96,67,53,133,43,25,129,0,0,0,2023
610,Brock McGinn,PIT,76,12,7,19,-7,9,21,91,26,38,83,19,23,43,4,10,28.57,2023
611,Kris Letang,PIT,65,12,28,40,-12,15,30,160,150,63,162,84,47,108,0,0,0,2023
612,Jeff Petry,PIT,62,5,27,32,3,12,24,113,89,52,190,36,23,110,0,0,0,2023
613,Matias MacCelli,ARI,64,11,38,49,1,9,18,61,46,24,24,46,23,20,0,7,0,2023
614,Ryan Poehling,PIT,55,7,7,14,-2,4,8,64,16,30,57,4,29,42,186,224,45.37,2023
615,Troy Stecher,ARI,81,3,11,14,-7,19,44,87,69,25,71,38,21,92,0,0,0,2023
616,Clayton Keller,ARI,82,37,50,87,-1,19,49,223,80,78,18,63,58,34,22,41,34.92,2023
617,Christian Fischer,ARI,80,13,14,27,-7,10,20,122,41,40,125,32,19,38,9,40,18.37,2023
618,Barrett Hayton,ARI,82,19,24,43,-5,20,42,177,44,58,83,41,35,33,629,601,51.14,2023
619,Josh Brown,ARI,69,4,3,7,-16,25,87,67,23,37,151,29,10,119,0,0,0,2023
620,Lawson Crouse,ARI,77,24,21,45,-3,16,35,152,53,54,194,32,32,57,33,49,40.24,2023
621,Conor Timmins,ARI,30,2,12,14,-1,4,8,19,25,8,22,17,6,17,0,0,0,2023
622,Nick Ritchie,ARI,74,13,13,26,-22,24,51,120,37,39,218,19,8,32,2,10,16.67,2023
623,Nick Bjugstad,ARI,78,17,12,29,10,17,34,146,35,66,168,31,33,43,529,579,47.74,2023
624,Evgeni Malkin,PIT,82,27,56,83,-11,32,72,240,102,72,53,105,82,32,420,436,49.07,2023
625,Bryan Rust,PIT,81,20,26,46,-3,14,31,212,63,88,98,58,37,50,5,5,50,2023
626,Kasperi Kapanen,PIT,68,15,19,34,-9,9,18,116,31,28,99,20,17,20,30,49,37.97,2023
627,Josh Archibald,PIT,62,6,7,13,6,15,41,71,17,24,195,5,14,28,1,3,25,2023
628,Sidney Crosby,PIT,82,33,60,93,9,18,52,254,95,94,71,67,59,47,977,869,52.93,2023
629,Travis Boyd,ARI,82,15,19,34,-31,13,26,93,33,40,39,34,35,58,503,654,43.47,2023
630,Jan Rutta,PIT,57,3,6,9,1,15,30,62,49,26,71,21,13,70,0,0,0,2023
631,Shayne Gostisbehere,ARI,75,13,28,41,-6,13,34,155,105,75,47,55,32,89,0,0,0,2023
632,Jeff Carter,PIT,79,13,16,29,-17,14,30,139,55,43,80,33,26,54,560,379,59.64,2023
633,Elias Pettersson,VAN,80,41,61,102,18,7,14,260,115,116,74,47,56,88,443,554,44.43,2023
634,Oliver Ekman-Larsson,VAN,54,3,19,22,-24,11,22,94,67,36,60,26,11,45,0,0,0,2023
635,Nils Aman,VAN,68,4,12,16,-11,9,18,50,11,21,44,7,9,39,182,293,38.32,2023
636,Derek Ryan,EDM,80,13,7,20,11,14,28,92,28,30,54,15,42,42,217,217,50,2023
637,Andrei Kuzmenko,VAN,81,38,35,73,11,4,8,143,65,66,13,29,32,18,0,1,0,2023
638,Brad Malone,EDM,10,0,0,0,-4,3,6,7,5,2,26,1,3,4,26,19,57.78,2023
639,Tyson Barrie,EDM,85,13,42,55,-7,18,36,164,108,57,55,48,33,89,0,0,0,2023
640,Connor McDavid,EDM,82,65,90,155,24,18,36,356,88,91,90,77,84,40,530,493,51.81,2023
641,Kyle Burroughs,VAN,51,2,3,5,-5,21,69,47,36,12,171,13,5,85,0,1,0,2023
642,Darnell Nurse,EDM,82,12,30,42,26,28,64,204,131,69,146,76,42,163,0,0,0,2023
643,Brock Boeser,VAN,75,19,37,56,-22,12,24,182,68,67,50,21,23,33,24,36,40,2023
644,Zach Hyman,EDM,79,36,47,83,12,18,39,278,62,91,77,29,33,19,6,6,50,2023
645,Conor Garland,VAN,81,17,29,46,-9,10,31,167,45,68,47,37,47,20,3,11,21.43,2023
646,Curtis Lazar,VAN,49,3,2,5,-6,9,21,55,17,15,138,5,15,51,140,132,51.47,2023
647,Devin Shore,EDM,49,1,8,9,6,2,4,33,13,15,46,12,14,24,86,89,49.14,2023
648,Cody Ceci,EDM,80,1,14,15,11,12,24,88,68,36,139,39,20,109,0,0,0,2023
649,Nils Hoglander,VAN,25,3,6,9,-4,3,6,29,18,11,21,9,9,8,1,1,50,2023
650,Dakota Joshua,VAN,79,11,12,23,-15,20,60,72,16,18,222,13,31,30,23,20,53.49,2023
651,Jesse Puljujarvi,EDM,75,5,11,16,-15,13,32,126,49,53,139,20,24,26,0,2,0,2023
652,Evan Bouchard,EDM,82,8,32,40,4,14,28,157,161,64,95,73,66,78,0,0,0,2023
653,Vasily Podkolzin,VAN,39,4,3,7,-5,3,9,41,6,23,52,16,8,15,7,9,43.75,2023
654,Riley Stillman,VAN,52,1,7,8,-12,12,36,37,45,24,83,14,6,44,0,0,0,2023
655,Evander Kane,EDM,41,16,12,28,-5,25,53,150,67,47,127,32,15,15,12,22,35.29,2023
656,Ryan McLeod,EDM,58,11,11,22,2,9,18,78,35,31,40,41,23,20,287,309,48.15,2023
657,Bo Horvat,VAN,79,36,33,69,-3,9,18,226,56,70,57,37,38,54,970,729,57.09,2023
658,Ryan Nugent-Hopkins,EDM,82,38,69,107,13,15,35,203,63,64,48,31,57,26,311,376,45.27,2023
659,Ryan Murray,EDM,14,0,3,3,-5,2,4,8,5,4,11,7,0,11,0,0,0,2023
660,Quinn Hughes,VAN,78,7,68,75,16,17,34,155,147,65,29,45,56,71,1,0,100,2023
661,Tanner Pearson,VAN,14,1,4,5,-9,9,21,17,3,10,20,1,5,3,7,11,38.89,2023
662,Luke Schenn,VAN,70,4,17,21,11,29,84,85,63,37,322,34,11,99,0,0,0,2023
663,Leon Draisaitl,EDM,80,53,76,129,7,12,24,248,77,103,66,103,79,39,817,669,54.98,2023
664,Tucker Poolman,VAN,3,0,1,1,1,0,0,3,1,0,2,1,1,2,0,0,0,2023
665,J.T. Miller,VAN,81,33,52,85,-9,24,60,225,92,87,201,46,58,54,486,400,54.85,2023
666,Brett Kulak,EDM,82,3,17,20,13,19,41,113,69,29,105,40,27,104,0,0,0,2023
667,Dylan Holloway,EDM,51,3,6,9,-1,11,27,44,15,23,83,18,11,16,23,39,37.1,2023
668,Brandon Tanev,SEA,82,16,19,35,22,15,44,114,27,51,190,25,34,68,3,22,12,2023
669,Shane Wright,SEA,8,2,1,3,4,1,2,7,2,5,1,2,1,7,13,26,33.33,2023
670,Frank Vatrano,ANA,81,22,19,41,-28,21,66,231,60,62,86,34,21,74,7,10,41.18,2023
671,Adam Henrique,ANA,62,22,16,38,-6,11,22,129,47,45,28,34,26,46,340,327,50.97,2023
672,Jamie Oleksiak,SEA,76,9,16,25,11,23,64,79,54,33,127,39,43,115,0,0,0,2023
673,Jordan Eberle,SEA,82,20,42,62,7,16,34,181,76,70,44,33,56,25,34,43,44.16,2023
674,Dmitry Kulikov,ANA,67,3,13,16,-13,17,34,84,45,21,96,45,19,106,0,1,0,2023
675,Derek Grant,ANA,46,5,13,18,-4,12,26,71,24,27,36,14,18,27,270,223,54.77,2023
676,Will Borgen,SEA,82,3,17,20,11,19,47,75,54,38,202,23,14,89,0,0,0,2023
677,Alex Wennberg,SEA,82,13,25,38,-6,9,20,101,29,35,43,26,84,64,622,751,45.3,2023
678,Ryan Strome,ANA,82,15,27,42,-29,31,79,130,40,36,29,49,29,23,400,519,43.53,2023
679,Cam Fowler,ANA,82,10,38,48,-21,8,14,130,113,51,18,48,34,103,0,0,0,2023
680,Ryan Donato,SEA,71,14,13,27,16,16,46,122,46,34,69,15,36,12,61,86,41.5,2023
681,Adam Larsson,SEA,82,8,24,32,29,22,47,144,91,65,222,30,32,173,0,0,0,2023
682,Jaden Schwartz,SEA,71,21,19,40,-17,11,22,167,70,54,55,31,44,25,75,83,47.47,2023
683,Jamie Drysdale,ANA,8,0,0,0,-3,1,2,8,6,4,7,3,0,6,0,0,0,2023
684,John Klingberg,ANA,67,10,23,33,-25,17,34,112,101,59,55,46,22,86,0,0,0,2023
685,Mason McTavish,ANA,80,17,26,43,-21,21,44,161,54,55,55,32,29,36,306,417,42.32,2023
686,Trevor Zegras,ANA,81,23,41,64,-26,30,76,184,112,73,46,75,31,29,236,337,41.19,2023
687,Matty Beniers,SEA,80,24,34,58,14,2,4,148,53,68,79,48,55,48,412,557,42.52,2023
688,Nathan Beaulieu,ANA,55,0,4,4,-23,12,39,33,32,15,49,16,10,81,0,0,0,2023
689,Pavol Regenda,ANA,15,1,2,3,-3,2,4,17,3,10,8,5,4,13,1,1,50,2023
690,Isac Lundestrom,ANA,61,4,10,14,-13,1,2,60,23,21,20,13,23,42,285,317,47.34,2023
691,Jakob Silfverberg,ANA,82,10,16,26,-19,16,32,139,40,50,10,19,28,50,18,34,34.62,2023
