Player,Team,GP,G,A,Pts,+/-,PN,PIM,S,SB,MS,H,GV,TK,BS,FW,FL,F%,Year
Dean Kukan,CBJ,41,3,8,11,-2,7,16,41,20,15,43,15,9,39,0,1,0,2022
Nick Schmaltz,ARI,63,23,36,59,-2,7,14,124,50,39,15,42,52,29,114,124,47.9,2022
Gregory Hofmann,CBJ,24,2,5,7,7,4,8,33,15,3,23,9,7,10,0,8,0,2022
Ryan Dzingel,ARI,32,5,3,8,-5,9,35,32,13,13,20,8,13,9,65,88,42.48,2022
Dmitrij Jaskin,ARI,12,0,1,1,-6,2,4,23,10,10,47,8,3,9,5,5,50,2022
Phil Kessel,ARI,82,8,43,51,-25,16,40,174,80,54,6,53,39,21,4,8,33.33,2022
Max Domi,CBJ,72,11,28,39,9,26,55,104,61,41,24,33,36,9,39,47,45.35,2022
Gustav Nyquist,CBJ,82,18,35,53,-11,13,26,122,39,47,41,25,46,51,14,16,46.67,2022
Johan Larsson,ARI,43,7,14,21,-4,13,32,44,23,21,70,13,13,25,195,227,46.21,2022
Jay Beagle,ARI,33,1,1,2,-20,8,27,24,11,5,50,7,9,16,265,199,57.11,2022
Victor Soderstrom,ARI,16,0,0,0,-6,3,6,14,12,5,14,6,1,23,0,0,0,2022
Eric Robinson,CBJ,67,10,17,27,-2,9,18,103,51,32,95,12,30,19,2,2,50,2022
Clayton Keller,ARI,67,28,35,63,-1,14,28,177,46,51,17,53,61,31,29,39,42.65,2022
Sean Kuraly,CBJ,77,14,16,30,2,25,61,121,29,40,239,26,35,51,625,643,49.29,2022
Christian Fischer,ARI,53,5,5,10,-15,7,14,75,28,19,91,24,17,23,76,147,34.08,2022
Jakob Chychrun,ARI,47,7,14,21,-20,18,47,141,71,82,51,37,19,65,0,0,0,2022
Lawson Crouse,ARI,65,20,14,34,-10,20,52,131,40,52,181,23,29,35,16,32,33.33,2022
Conor Timmins,ARI,6,0,0,0,-6,0,0,5,7,5,7,2,3,9,0,0,0,2022
Jake Bean,CBJ,67,7,18,25,-8,13,26,91,75,44,41,23,21,71,0,0,0,2022
Andrew Peeke,CBJ,82,2,13,15,-18,27,60,72,58,37,191,31,15,169,0,0,0,2022
Jack Roslovic,CBJ,81,22,23,45,-4,6,12,129,37,52,60,35,32,25,371,485,43.34,2022
Cole Sillinger,CBJ,79,16,15,31,-22,17,37,148,52,53,98,24,24,43,359,418,46.2,2022
Boone Jenner,CBJ,59,23,22,45,-8,11,22,160,45,61,80,29,33,56,644,554,53.76,2022
Oliver Bjorkstrand,CBJ,80,28,29,57,-35,8,16,215,89,97,85,33,56,31,10,13,43.48,2022
Patrik Laine,CBJ,56,26,30,56,-5,12,24,167,79,71,34,52,27,13,14,24,36.84,2022
Andrew Ladd,ARI,52,7,4,11,-20,18,47,57,27,23,68,26,17,32,7,3,70,2022
Anton Stralman,ARI,74,8,16,24,-21,6,12,95,60,26,99,28,32,99,0,0,0,2022
Alexandre Texier,CBJ,36,11,9,20,2,6,12,59,27,23,13,5,16,12,20,37,35.09,2022
Antoine Roussel,ARI,53,4,4,8,-17,16,59,59,18,26,74,16,9,34,17,23,42.5,2022
Shayne Gostisbehere,ARI,82,14,37,51,-23,13,26,151,98,65,60,78,44,115,0,0,0,2022
Loui Eriksson,ARI,73,3,17,20,-18,3,6,81,17,23,17,26,22,23,20,16,55.56,2022
Martin Necas,CAR,78,14,26,40,6,16,32,160,68,67,55,75,38,19,38,48,44.19,2022
Andrei Svechnikov,CAR,78,30,39,69,20,39,89,249,103,115,189,72,44,14,0,6,0,2022
Casey Cizikas,NYI,74,10,6,16,-3,24,48,91,19,37,140,32,33,43,534,427,55.57,2022
Kyle Palmieri,NYI,69,15,18,33,0,23,57,156,52,59,78,19,16,18,15,36,29.41,2022
Anthony Beauvillier,NYI,75,12,22,34,-11,6,12,154,51,47,39,54,36,20,4,7,36.36,2022
Vincent Trocheck,CAR,81,21,30,51,20,32,78,168,46,86,185,42,50,46,678,564,54.59,2022
Teuvo Teravainen,CAR,77,22,41,63,22,12,24,202,62,62,15,52,34,30,24,20,54.55,2022
Tony Deangelo,CAR,64,10,42,52,32,16,46,151,73,40,41,39,27,59,0,0,0,2022
Mathew Barzal,NYI,73,15,43,58,-15,9,18,161,44,47,36,82,43,17,234,271,46.34,2022
Andy Greene,NYI,69,2,8,10,-13,5,10,52,40,34,39,45,14,126,0,0,0,2022
Zach Parise,NYI,82,15,20,35,-2,14,28,138,23,42,60,25,27,57,28,47,37.33,2022
Ross Johnston,NYI,32,2,5,7,-3,12,44,9,6,3,90,10,4,16,0,1,0,2022
Cal Clutterbuck,NYI,59,6,9,15,-6,5,10,74,18,21,229,14,21,23,11,4,73.33,2022
Jaccob Slavin,CAR,79,4,38,42,36,5,10,165,103,72,50,43,74,121,0,0,0,2022
Jean-Gabriel Pageau,NYI,77,18,21,39,0,12,30,126,30,43,171,42,30,53,751,598,55.67,2022
Ryan Pulock,NYI,56,5,15,20,0,1,2,122,67,37,86,33,15,130,0,0,0,2022
Derek Stepan,CAR,58,9,10,19,-1,7,14,96,21,28,29,13,22,25,249,196,55.96,2022
Adam Pelech,NYI,79,3,24,27,20,17,42,104,88,33,99,48,49,128,0,0,0,2022
Zdeno Chara,NYI,72,2,12,14,7,27,85,81,58,33,125,45,14,90,0,0,0,2022
Ian Cole,CAR,75,2,17,19,13,33,83,77,59,44,110,48,29,104,0,0,0,2022
Ethan Bear,CAR,58,5,9,14,1,9,20,97,56,32,55,28,16,41,0,0,0,2022
Oliver Wahlstrom,NYI,73,13,11,24,-5,26,74,157,61,58,101,20,19,19,6,8,42.86,2022
Josh Bailey,NYI,74,14,30,44,-7,3,6,87,41,28,19,43,31,26,43,67,39.09,2022
Brett Pesce,CAR,70,7,21,28,7,14,39,148,95,61,39,29,45,99,0,0,0,2022
Noah Dobson,NYI,80,13,39,52,-3,9,18,192,132,79,78,81,27,154,0,0,0,2022
Jesper Fast,CAR,82,14,20,34,24,2,4,97,29,45,109,26,17,36,12,17,41.38,2022
Jordan Martinook,CAR,59,6,9,15,1,11,22,77,31,44,83,15,11,11,23,28,45.1,2022
Nino Niederreiter,CAR,75,24,20,44,30,13,34,144,37,62,119,51,21,17,19,19,50,2022
Brock Nelson,NYI,72,37,22,59,-5,15,33,170,68,40,31,42,49,43,475,489,49.27,2022
Anders Lee,NYI,76,28,18,46,-11,17,34,159,38,69,94,25,16,30,65,69,48.51,2022
Sebastian Aho,CAR,79,37,44,81,20,19,38,220,73,108,76,56,68,23,554,504,52.36,2022
Brady Skjei,CAR,82,9,29,38,23,23,48,184,77,69,95,62,51,73,0,0,0,2022
Jordan Staal,CAR,78,17,19,36,12,9,18,147,27,60,211,51,35,29,739,549,57.38,2022
Scott Mayfield,NYI,61,3,15,18,-5,18,55,80,77,45,77,53,15,109,0,1,0,2022
Jesperi Kotkaniemi,CAR,66,12,17,29,1,13,37,81,35,30,74,21,25,15,176,168,51.16,2022
Steven Lorentz,CAR,67,8,5,13,-1,4,8,80,29,33,67,17,24,13,50,61,45.05,2022
Michael Raffl,DAL,76,7,8,15,-18,7,16,94,24,33,142,36,36,34,13,12,52,2022
Miro Heiskanen,DAL,71,5,30,35,3,12,24,155,94,62,52,84,45,92,0,0,0,2022
Joel Kiviranta,DAL,56,1,6,7,-6,5,10,59,20,19,97,9,7,23,0,3,0,2022
Nils Lundkvist,NYR,28,1,3,4,4,0,0,32,16,11,15,15,3,15,0,0,0,2022
Tyler Seguin,DAL,81,24,26,50,-20,15,30,218,65,62,96,48,26,33,464,364,56.04,2022
Jacob Peterson,DAL,66,12,5,17,-1,6,12,85,31,30,22,17,13,23,59,56,51.3,2022
Julien Gauthier,NYR,51,3,4,7,-9,4,8,69,14,27,98,14,15,14,1,2,33.33,2022
Alexander Radulov,DAL,71,4,18,22,-20,15,30,92,41,56,43,27,30,48,10,12,45.45,2022
Jani Hakanpaa,DAL,80,4,8,12,1,16,43,68,59,31,248,38,9,112,0,0,0,2022
Joe Pavelski,DAL,82,27,52,79,10,7,14,216,61,96,104,44,35,69,395,357,52.53,2022
John Klingberg,DAL,74,6,40,46,-28,17,34,139,152,71,57,86,16,77,0,0,0,2022
Andrej Sekera,DAL,32,1,4,5,-3,8,16,26,18,9,15,14,3,25,0,0,0,2022
Denis Gurianov,DAL,73,11,20,31,3,8,16,144,82,55,67,46,12,32,0,0,0,2022
Radek Faksa,DAL,77,5,14,19,-21,22,52,89,20,41,129,27,27,68,382,313,54.96,2022
Tanner Kero,DAL,24,0,3,3,-5,0,0,14,8,4,12,7,6,9,9,5,64.29,2022
Luke Glendening,DAL,82,9,7,16,-17,6,15,116,26,51,180,14,17,59,427,296,59.06,2022
Roope Hintz,DAL,80,37,35,72,14,14,28,213,63,91,82,49,24,53,357,316,53.05,2022
Ryan Suter,DAL,82,6,26,32,2,20,40,117,83,65,46,46,19,88,0,0,0,2022
Jamie Benn,DAL,82,19,27,46,-11,33,88,183,66,69,141,47,37,60,492,400,55.16,2022
Esa Lindell,DAL,76,4,21,25,5,6,12,136,52,23,111,56,20,148,0,1,0,2022
Owen Tippett,FLA,63,10,12,22,-2,6,12,126,50,37,98,25,36,16,21,34,38.18,2022
Anton Lundell,FLA,67,18,27,45,33,9,18,124,52,46,26,35,59,56,330,414,44.35,2022
Aleksander Barkov,FLA,67,39,49,88,36,9,18,214,66,60,50,51,59,41,711,539,56.88,2022
Frank Vatrano,FLA,72,18,14,32,4,11,22,161,57,48,69,27,22,27,12,13,48,2022
Brandon Montour,FLA,81,11,26,37,16,23,48,150,78,66,62,49,26,65,0,0,0,2022
Patric Hornqvist,FLA,66,13,16,29,-4,8,19,167,36,38,112,14,24,23,8,13,38.1,2022
Jake Guentzel,PIT,76,40,44,84,13,21,44,264,86,84,72,23,41,38,13,12,52,2022
Carter Verhaeghe,FLA,79,24,31,55,24,23,48,165,80,65,50,47,63,16,19,10,65.52,2022
Anthony Duclair,FLA,74,31,27,58,18,11,30,165,47,40,38,55,37,16,1,1,50,2022
Joe Thornton,FLA,34,5,5,10,-10,5,10,26,9,9,21,18,18,10,77,98,44,2022
Matt Kiersted,FLA,10,1,1,2,-8,1,2,11,5,3,10,7,3,17,0,0,0,2022
Ryan Lomberg,FLA,55,8,10,18,5,24,82,89,39,32,115,9,18,7,1,6,14.29,2022
Radko Gudas,FLA,78,3,13,16,26,39,110,100,78,44,352,58,28,116,0,0,0,2022
Gustav Forsling,FLA,73,10,27,37,41,9,18,144,103,47,46,53,51,85,0,0,0,2022
MacKenzie Weegar,FLA,80,8,35,43,40,27,81,204,119,69,177,85,74,155,0,0,0,2022
Jonathan Huberdeau,FLA,80,30,85,115,34,19,54,222,64,57,99,85,63,28,18,36,33.33,2022
Sam Reinhart,FLA,78,33,50,83,26,5,13,185,59,81,49,43,37,30,173,186,48.19,2022
Aaron Ekblad,FLA,61,15,42,57,38,13,26,179,84,53,62,73,43,69,0,0,0,2022
Sam Bennett,FLA,71,28,22,50,26,34,74,241,106,51,119,49,41,28,412,466,46.92,2022
Tim StÜtzle,OTT,80,22,35,57,-28,17,37,176,73,64,125,51,38,52,180,293,38.05,2022
Victor Mete,OTT,38,0,7,7,-19,2,4,27,13,15,13,18,7,38,0,0,0,2022
Thomas Chabot,OTT,59,7,31,38,-3,13,26,173,103,54,73,68,29,93,0,0,0,2022
Logan Shaw,OTT,17,1,2,3,-3,1,2,17,2,3,11,3,11,5,58,57,50.43,2022
Connor Brown,OTT,64,10,28,38,-14,5,10,121,66,48,14,50,51,37,48,85,36.09,2022
Nikita Zaitsev,OTT,62,2,9,11,-6,14,28,65,36,37,128,35,13,103,0,0,0,2022
Nick Paul,OTT,59,12,7,19,-18,8,22,132,52,55,67,27,48,41,333,345,49.12,2022
Chris Tierney,OTT,70,6,13,19,-12,7,14,72,21,28,42,34,23,30,264,267,49.72,2022
Josh Norris,OTT,66,35,19,54,-6,8,16,172,73,74,79,32,24,44,527,507,50.97,2022
Artem Zub,OTT,81,6,16,22,0,29,60,92,67,35,155,60,14,124,0,0,0,2022
Zach Sanford,OTT,80,9,11,20,-16,18,50,104,42,63,168,22,36,67,5,17,22.73,2022
Shane Pinto,OTT,5,0,1,1,0,1,2,5,4,6,0,5,2,1,17,35,32.69,2022
Josh Brown,OTT,52,0,6,6,-7,11,37,45,24,18,118,22,9,62,0,0,0,2022
Drake Batherson,OTT,47,17,25,42,4,12,32,110,40,38,89,30,21,15,18,25,41.86,2022
Parker Kelly,OTT,41,7,6,13,-4,14,60,48,19,16,131,7,11,30,0,2,0,2022
Alex Formenton,OTT,79,18,14,32,-13,21,59,162,47,47,101,25,44,24,8,12,40,2022
Tyler Ennis,OTT,57,8,16,24,-6,8,16,89,33,35,70,23,19,24,20,9,68.97,2022
Nick Holden,OTT,76,5,14,19,-2,6,12,75,51,43,115,48,16,112,0,1,0,2022
Henri Jokiharju,BUF,60,3,16,19,-10,10,20,83,44,19,73,35,12,60,1,0,100,2022
Rasmus Dahlin,BUF,80,13,40,53,-24,33,68,171,98,53,121,51,27,91,0,1,0,2022
Dylan Cozens,BUF,79,13,25,38,-20,18,55,160,55,50,35,30,33,22,383,457,45.6,2022
Mark Pysyk,BUF,70,3,9,12,-5,8,16,64,27,35,41,21,20,85,0,0,0,2022
Rasmus Asplund,BUF,80,8,19,27,-4,5,10,130,18,44,30,24,21,14,28,33,45.9,2022
Zemgus Girgensons,BUF,56,10,8,18,-7,8,27,92,25,28,81,10,24,25,143,144,49.83,2022
Kyle Okposo,BUF,74,21,24,45,-15,19,43,174,63,67,59,35,24,19,92,93,49.73,2022
Anders Bjork,BUF,59,5,3,8,-14,5,10,51,29,13,11,11,16,16,1,4,20,2022
Tage Thompson,BUF,78,38,30,68,-19,13,37,253,110,95,66,42,50,24,393,583,40.27,2022
Drake Caggiula,BUF,18,2,3,5,-3,2,4,23,6,8,17,2,6,7,1,3,25,2022
Robert Hagg,BUF,65,1,8,9,-9,16,35,59,45,36,137,23,10,102,0,0,0,2022
Jeff Skinner,BUF,80,33,30,63,-18,17,42,261,74,68,29,51,51,20,91,133,40.62,2022
Vinnie Hinostroza,BUF,62,13,12,25,-10,11,24,92,32,30,25,26,22,13,12,16,42.86,2022
Victor Olofsson,BUF,73,20,29,49,-18,3,6,164,70,59,10,17,18,15,0,1,0,2022
Casey Mittelstadt,BUF,40,6,14,20,-13,2,4,78,21,20,19,17,13,12,202,250,44.69,2022
Colin Miller,BUF,40,2,10,12,-1,9,21,48,29,25,50,13,6,42,0,0,0,2022
Cody Eakin,BUF,70,4,8,12,-15,10,22,74,23,21,33,19,22,29,479,379,55.83,2022
Jacob Bryson,BUF,74,1,9,10,-9,6,12,43,34,8,55,25,24,73,0,0,0,2022
Benoit-Olivier Groulx,ANA,18,1,2,3,0,1,2,17,10,4,19,3,3,6,38,45,45.78,2022
Rickard Rakell,ANA,71,20,21,41,0,6,12,184,77,81,99,33,28,44,36,43,45.57,2022
Logan Stanley,WPG,58,1,12,13,1,16,44,80,52,48,131,56,13,100,0,0,0,2022
Nicolas Deslauriers,ANA,81,8,5,13,-10,29,113,90,34,34,263,14,7,49,1,3,25,2022
Adam Henrique,ANA,58,19,23,42,-3,7,14,141,39,53,22,20,18,47,276,220,55.65,2022
Riley Nash,WPG,50,0,4,4,-5,5,10,36,8,20,46,12,18,17,207,190,52.14,2022
Jansen Harkins,WPG,77,7,6,13,-9,6,15,67,42,33,51,24,26,18,28,15,65.12,2022
Brenden Dillon,WPG,79,3,17,20,15,26,67,85,73,45,212,51,16,108,0,0,0,2022
Derek Grant,ANA,71,15,14,29,-17,8,27,115,38,38,69,17,21,49,204,214,48.8,2022
Josh Morrissey,WPG,79,12,24,36,-3,28,66,173,100,78,150,63,26,104,0,0,0,2022
Hampus Lindholm,ANA,72,5,23,28,8,22,46,142,75,59,70,47,35,92,0,0,0,2022
Ryan Getzlaf,ANA,56,3,34,37,-16,13,29,103,44,44,89,67,35,56,546,479,53.27,2022
Cam Fowler,ANA,76,9,32,41,-10,7,14,124,131,46,37,46,31,117,0,0,0,2022
Andrew Copp,WPG,72,21,30,51,17,8,16,184,41,59,45,43,34,41,377,332,53.17,2022
Jamie Drysdale,ANA,81,4,28,32,-28,8,16,137,88,65,40,49,19,72,0,0,0,2022
Paul Stastny,WPG,71,22,24,46,16,7,14,142,24,31,27,21,38,27,267,204,56.69,2022
Mason McTavish,ANA,9,2,1,3,3,1,2,12,1,3,8,0,2,6,0,3,0,2022
Kristian Vesalainen,WPG,53,2,1,3,-8,3,6,43,15,6,72,8,5,14,0,1,0,2022
Trevor Zegras,ANA,75,22,39,61,-21,20,50,180,82,70,56,71,40,27,217,328,39.82,2022
Cole Perfetti,WPG,18,2,5,7,1,0,0,21,14,13,17,5,7,2,0,3,0,2022
Neal Pionk,WPG,77,3,30,33,8,23,46,140,75,63,185,69,27,91,0,0,0,2022
Adam Lowry,WPG,79,13,8,21,3,15,59,114,31,48,231,23,39,43,563,500,52.96,2022
Isac Lundestrom,ANA,80,16,13,29,-3,4,8,83,28,33,38,31,22,55,391,487,44.53,2022
Kyle Connor,WPG,79,47,46,93,-1,2,4,314,104,80,32,47,66,23,1,6,14.29,2022
Evgeny Svechnikov,WPG,72,7,12,19,-4,15,38,78,24,21,104,28,24,22,3,4,42.86,2022
Dylan Demelo,WPG,76,1,12,13,10,14,28,78,43,20,113,49,17,108,0,0,0,2022
Jakob Silfverberg,ANA,53,5,15,20,-5,15,30,120,29,34,16,16,30,40,8,16,33.33,2022
Pierre-Luc Dubois,WPG,81,28,32,60,-6,45,106,232,64,96,112,41,22,43,532,603,46.87,2022
Nate Schmidt,WPG,77,4,28,32,-3,5,10,117,84,56,37,66,32,104,0,0,0,2022
Nikolaj Ehlers,WPG,62,27,28,55,20,10,20,244,108,97,32,44,41,27,2,1,66.67,2022
Josh Manson,ANA,69,6,10,16,-11,28,65,92,50,30,179,43,38,70,0,0,0,2022
Kevin Shattenkirk,ANA,82,8,26,34,-9,18,36,163,81,51,73,58,38,135,0,1,0,2022
Troy Terry,ANA,75,38,31,69,-10,13,26,193,62,72,6,46,35,27,1,8,11.11,2022
Greg Pateryn,ANA,10,1,1,2,0,5,10,16,2,5,18,3,0,7,0,0,0,2022
Max Comtois,ANA,52,6,10,16,-17,19,46,72,20,38,111,34,9,17,22,24,47.83,2022
Blake Wheeler,WPG,65,17,43,60,-16,18,36,167,53,43,62,36,32,37,4,17,19.05,2022
Elias Pettersson,VAN,80,32,35,67,0,5,12,193,100,98,49,40,56,44,239,304,44.01,2022
Oliver Ekman-Larsson,VAN,79,5,24,29,4,26,52,168,117,66,105,42,26,79,0,0,0,2022
Jack Rathbone,VAN,9,0,0,0,-5,1,2,10,6,6,5,4,2,8,0,0,0,2022
Derek Ryan,EDM,75,10,12,22,-5,4,8,72,23,23,38,15,27,38,286,227,55.75,2022
Tyson Barrie,EDM,73,7,35,42,4,9,18,149,97,51,27,43,14,73,0,0,0,2022
Matthew Highmore,VAN,46,5,8,13,1,7,14,62,14,20,41,6,16,38,3,5,37.5,2022
Kyle Turris,EDM,23,1,3,4,-5,2,4,21,14,8,13,5,9,6,28,22,56,2022
Jason Dickinson,VAN,62,5,6,11,-2,8,19,66,27,31,101,9,20,43,123,165,42.71,2022
Connor McDavid,EDM,80,44,78,122,29,16,45,314,88,78,75,69,72,26,562,485,53.68,2022
Kyle Burroughs,VAN,43,1,4,5,-2,15,39,42,35,10,126,7,7,63,0,0,0,2022
Juho Lammikko,VAN,75,7,8,15,-5,7,14,67,26,25,92,9,17,46,353,338,51.09,2022
Darnell Nurse,EDM,71,9,25,34,17,27,54,203,123,83,198,67,33,132,0,0,0,2022
Duncan Keith,EDM,64,1,20,21,16,11,22,79,63,33,22,64,36,112,0,0,0,2022
Brendan Perlini,EDM,24,4,1,5,-2,3,6,24,10,10,29,2,3,3,0,1,0,2022
Zach Hyman,EDM,76,27,27,54,-8,18,36,213,60,81,74,34,29,30,39,45,46.43,2022
Conor Garland,VAN,77,19,32,51,16,14,36,202,65,63,52,36,50,22,5,6,45.45,2022
Cody Ceci,EDM,78,5,22,27,9,7,14,102,75,36,117,39,15,122,0,0,0,2022
Kris Russell,EDM,31,2,7,9,6,2,4,34,21,11,33,14,3,68,0,0,0,2022
Nils Hoglander,VAN,60,10,8,18,-3,12,24,132,26,32,41,26,25,16,1,3,25,2022
Alex Chiasson,VAN,67,13,9,22,5,8,24,99,23,19,69,10,7,18,10,13,43.48,2022
Evan Bouchard,EDM,81,12,31,43,9,14,28,205,122,73,79,79,37,111,0,0,0,2022
Jesse Puljujarvi,EDM,65,14,24,38,22,10,20,160,38,66,81,18,27,15,0,0,0,2022
Vasily Podkolzin,VAN,79,14,12,26,7,13,26,115,34,42,84,18,32,33,8,11,42.11,2022
Ryan McLeod,EDM,71,9,13,22,-1,6,12,82,32,29,28,41,39,25,249,276,47.43,2022
Bo Horvat,VAN,70,31,21,52,4,20,40,197,43,67,96,25,33,45,859,645,57.11,2022
Tyler Myers,VAN,82,1,17,18,13,25,66,129,84,45,145,56,32,149,0,0,0,2022
Ryan Nugent-Hopkins,EDM,63,11,39,50,3,8,16,154,47,30,42,34,43,34,179,257,41.06,2022
Quinn Hughes,VAN,76,8,61,69,11,14,28,152,143,52,19,43,42,56,0,0,0,2022
Colton Sceviour,EDM,36,2,4,6,-6,6,26,38,7,15,41,10,9,20,29,33,46.77,2022
Tanner Pearson,VAN,68,14,19,33,7,11,30,159,45,38,84,15,22,41,20,37,35.09,2022
Kailer Yamamoto,EDM,81,20,20,40,-1,16,40,114,33,41,114,38,34,36,2,4,33.33,2022
Leon Draisaitl,EDM,80,55,55,110,16,19,40,278,95,109,53,88,73,25,884,776,53.25,2022
Justin Dowling,VAN,23,2,2,4,-3,1,2,17,6,5,10,1,4,9,21,19,52.5,2022
Tucker Poolman,VAN,40,1,2,3,2,3,22,47,43,14,33,15,7,72,0,0,0,2022
Warren Foegele,EDM,82,12,14,26,-9,12,24,142,54,49,127,29,44,15,13,15,46.43,2022
J.T. Miller,VAN,80,32,67,99,13,22,47,206,57,87,172,62,56,56,667,568,54.01,2022
Bowen Byram,COL,32,5,12,17,7,6,12,49,30,23,53,11,14,26,0,0,0,2022
Philipp Kurashev,CHI,67,6,15,21,-17,6,12,85,37,20,31,11,24,31,51,70,42.15,2022
Kirby Dach,CHI,70,9,15,24,-18,20,43,116,41,41,49,17,42,44,180,366,32.97,2022
Tyson Jost,COL,80,8,12,20,0,16,34,97,39,21,55,10,38,37,173,253,40.61,2022
Nazem Kadri,COL,71,28,58,86,13,27,71,247,100,92,52,34,36,19,585,591,49.74,2022
Mikko Rantanen,COL,75,35,57,92,36,27,56,253,94,110,58,48,48,42,166,190,46.63,2022
Samuel Girard,COL,67,5,24,29,-3,10,20,80,72,37,65,28,21,90,0,0,0,2022
Dominik Kubalik,CHI,78,15,16,31,-14,8,18,161,65,59,93,25,18,28,8,12,40,2022
Seth Jones,CHI,78,5,46,51,-38,14,28,194,110,61,99,71,34,155,0,0,0,2022
J.T. Compher,COL,71,19,15,34,7,11,25,103,53,43,31,18,26,54,338,320,51.37,2022
Patrick Kane,CHI,78,26,65,91,-21,9,18,287,143,84,11,49,42,25,5,4,55.56,2022
Calvin De Haan,CHI,69,4,4,8,-20,15,33,107,73,45,146,59,18,172,0,0,0,2022
Alex Debrincat,CHI,82,41,38,79,-14,8,19,269,116,84,101,47,67,35,23,40,36.51,2022
Ryan Carpenter,CHI,67,3,9,12,-12,11,36,67,24,26,136,11,19,45,200,188,51.55,2022
Jake McCabe,CHI,75,3,19,22,-28,15,33,79,69,31,166,60,18,167,0,0,0,2022
Jonathan Toews,CHI,71,13,25,38,-14,18,39,126,30,33,25,34,48,22,787,548,58.95,2022
Jujhar Khaira,CHI,27,3,0,3,-3,5,13,32,12,7,88,2,2,14,53,48,52.48,2022
Erik Johnson,COL,77,8,17,25,21,12,24,138,85,37,165,29,35,135,0,0,0,2022
Cale Makar,COL,79,28,58,86,49,13,26,240,174,79,95,40,49,110,0,0,0,2022
MacKenzie Entwistle,CHI,55,5,7,12,-17,6,23,34,8,12,129,10,9,22,18,27,40,2022
Connor Murphy,CHI,57,4,6,10,-15,22,47,71,52,27,130,47,19,150,0,0,0,2022
Alex Newhook,COL,71,13,20,33,12,6,12,113,60,30,40,13,20,36,136,256,34.69,2022
Riley Stillman,CHI,52,2,10,12,-7,12,36,49,44,24,122,29,11,66,0,0,0,2022
Brandon Hagel,CHI,78,26,18,44,-17,14,31,126,57,41,63,33,53,32,24,33,42.11,2022
Sampo Ranta,COL,10,0,0,0,-4,1,2,9,6,5,9,1,4,6,2,2,50,2022
Jayson Megna,COL,21,0,3,3,-2,2,4,19,9,4,27,1,8,9,56,60,48.28,2022
Gabriel Landeskog,COL,51,30,30,60,28,25,78,150,57,44,94,29,17,34,241,198,54.9,2022
Valeri Nichushkin,COL,63,25,26,51,20,7,14,180,37,47,89,24,38,27,0,5,0,2022
Ryan Murray,COL,37,0,4,4,-3,1,2,26,12,7,32,8,4,41,0,0,0,2022
Tyler Johnson,CHI,26,3,4,7,-9,6,12,30,11,11,37,3,5,7,31,20,60.78,2022
Henrik Borgstrom,CHI,54,4,3,7,-14,10,22,41,28,16,26,8,22,19,81,123,39.71,2022
Andre Burakovsky,COL,81,22,38,60,12,9,18,149,98,66,48,39,28,34,8,12,40,2022
Jack Johnson,COL,75,1,9,10,6,14,42,57,44,24,91,24,10,68,0,0,0,2022
Darren Helm,COL,68,7,8,15,-4,7,14,93,31,22,114,7,25,27,102,131,43.78,2022
Logan O'Connor,COL,81,8,16,24,9,16,38,127,46,29,100,18,38,59,5,17,22.73,2022
Ian Mitchell,CHI,8,0,1,1,-3,0,0,2,4,3,2,1,0,9,0,0,0,2022
Kevin Rooney,NYR,61,5,6,11,-1,9,18,70,26,13,84,19,22,47,182,224,44.83,2022
Martin Fehervary,WSH,79,8,9,17,15,13,26,96,55,30,250,36,14,116,0,0,0,2022
Filip Chytil,NYR,71,8,14,22,-1,7,14,135,43,53,24,28,23,27,137,174,44.05,2022
K'Andre Miller,NYR,82,7,14,21,22,12,24,102,81,38,151,37,59,95,0,0,0,2022
Tom Wilson,WSH,78,24,28,52,13,32,98,150,53,74,240,44,36,55,22,30,42.31,2022
Lars Eller,WSH,72,13,18,31,-3,20,40,116,43,54,95,44,37,36,509,522,49.37,2022
Anthony Mantha,WSH,37,9,14,23,4,7,14,82,28,22,46,13,14,18,3,1,75,2022
Jacob Trouba,NYR,81,10,29,39,24,35,88,203,111,73,207,63,24,177,0,0,0,2022
Daniel Sprong,WSH,63,14,6,20,1,4,8,153,49,67,43,23,20,12,0,4,0,2022
Sammy Blais,NYR,14,0,4,4,3,7,17,17,8,8,37,4,3,8,2,3,40,2022
Trevor Van Riemsdyk,WSH,72,1,16,17,-3,13,40,75,45,27,25,19,30,129,0,0,0,2022
Evgeny Kuznetsov,WSH,79,24,54,78,6,18,44,206,56,82,42,51,54,30,505,661,43.31,2022
Mika Zibanejad,NYR,81,30,52,82,32,6,12,220,70,94,67,58,62,47,701,640,52.27,2022
Ryan Strome,NYR,74,21,34,55,17,29,69,161,41,55,41,37,32,19,362,456,44.25,2022
Nick Jensen,WSH,76,5,16,21,32,9,21,88,63,53,135,44,23,91,0,0,0,2022
Patrik Nemeth,NYR,64,2,3,5,-8,14,28,52,36,26,115,18,11,102,0,0,0,2022
Garnet Hathaway,WSH,76,14,12,26,18,27,57,124,38,35,250,20,23,62,10,18,35.71,2022
Hendrix Lapierre,WSH,6,1,0,1,2,1,2,7,2,0,1,1,3,2,6,17,26.09,2022
Kaapo Kakko,NYR,43,7,10,17,12,5,10,62,27,24,8,15,12,15,1,6,14.29,2022
