Player,Team,GP,G,A,Pts,+/-,PN,PIM,S,SB,MS,H,GV,TK,BS,FW,FL,F%,Year
William Lagesson,EDM,34,0,5,5,2,5,13,33,31,6,40,21,5,20,0,0,0,2022
Thomas Hickey,NYI,2,0,0,0,-3,0,0,0,1,0,2,1,1,3,0,0,0,2022
Paul Ladue,NYI,1,0,0,0,-2,0,0,1,1,0,2,0,0,1,0,0,0,2022
Otto Koivula,NYI,8,0,2,2,-2,0,0,8,2,1,8,1,1,4,22,30,42.31,2022
Daniel Renouf,DET,4,0,0,0,-4,2,7,3,1,1,4,1,1,2,0,0,0,2022
Beck Malenstyn,WSH,12,1,0,1,2,3,9,10,2,5,34,1,2,7,1,6,14.29,2022
Michael Sgarbossa,WSH,10,2,2,4,3,0,0,11,1,2,7,3,1,2,41,31,56.94,2022
Chase De Leo,N.J,2,0,0,0,-1,0,0,2,1,2,5,0,0,0,0,2,0,2022
Morgan Frost,PHI,55,5,11,16,-11,7,14,85,41,26,44,22,27,29,225,242,48.18,2022
Scott Reedy,S.J,35,7,2,9,-9,5,10,33,6,15,14,5,6,26,53,79,40.15,2022
Dennis Cholowski,WSH,11,0,3,3,-3,1,2,11,13,9,5,5,1,13,0,0,0,2022
Noah Gregor,S.J,63,8,14,22,-20,11,25,156,53,54,118,14,28,49,12,23,34.29,2022
Ben Jones,VGK,2,0,0,0,0,1,2,1,1,1,4,0,0,1,0,0,0,2022
Philip Broberg,EDM,23,1,2,3,-8,4,8,29,19,12,10,14,5,10,0,0,0,2022
Richard Panik,NYI,4,0,1,1,-2,0,0,4,2,4,9,1,1,2,1,1,50,2022
Grant Hutton,NYI,16,1,0,1,-1,2,4,22,14,7,15,5,2,12,0,0,0,2022
Andy Andreoff,NYI,6,1,0,1,-1,0,0,6,1,2,11,3,1,1,9,8,52.94,2022
Robin Salo,NYI,21,1,4,5,-6,2,4,24,14,5,7,14,5,23,0,0,0,2022
Sven Baertschi,VGK,1,0,0,0,-1,0,0,1,0,0,0,0,0,0,0,0,0,2022
Fabian Zetterlund,N.J,14,3,5,8,5,0,0,36,6,8,16,1,3,7,2,1,66.67,2022
Mattias Norlinder,MTL,6,0,1,1,3,1,2,2,1,0,4,0,0,3,0,0,0,2022
Caleb Jones,CHI,51,5,10,15,-2,9,18,57,31,12,77,31,17,57,0,0,0,2022
Garrett Pilon,WSH,2,1,0,1,1,0,0,1,1,1,2,2,1,0,8,10,44.44,2022
Jan Jenik,ARI,13,2,1,3,-6,5,13,22,6,7,25,3,1,4,8,11,42.11,2022
Hudson Fasching,ARI,11,0,0,0,-3,0,0,3,6,8,16,0,2,6,1,0,100,2022
Oskar Sundqvist,STL,59,8,15,23,6,9,29,70,28,19,70,25,12,28,75,106,41.44,2022
Scott Perunovich,STL,20,0,6,6,2,4,8,14,8,3,5,7,6,12,0,0,0,2022
Justin Danforth,CBJ,46,10,4,14,-5,5,10,72,25,34,85,2,15,22,108,90,54.55,2022
Tyler Motte,VAN,59,7,7,14,4,10,22,100,34,43,117,18,29,58,11,8,57.89,2022
Walker Duehr,CGY,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2022
Andrew Agozzino,OTT,1,0,0,0,0,0,0,1,0,0,4,0,0,0,1,2,33.33,2022
Colin Blackwell,SEA,58,10,10,20,1,3,14,77,30,19,90,17,18,24,83,86,49.11,2022
Madison Bowey,VAN,2,0,0,0,-4,0,0,0,4,1,7,0,0,3,0,0,0,2022
Ben Hutton,VGK,58,3,10,13,6,11,37,79,63,26,51,19,16,73,0,0,0,2022
Riley Tufte,DAL,10,1,0,1,0,2,4,5,1,2,9,3,1,4,1,1,50,2022
Kevin Hayes,PHI,48,10,22,32,-19,9,26,126,48,34,36,20,30,12,260,347,42.83,2022
T.J. Tynan,L.A,3,0,0,0,0,0,0,3,1,0,1,0,0,2,6,7,46.15,2022
Jacob Bernard-Docker,OTT,8,0,1,1,1,2,4,6,3,3,4,2,2,3,0,0,0,2022
Joey Anderson,TOR,6,0,0,0,0,0,0,10,3,2,3,0,2,0,0,0,0,2022
Alex Galchenyuk,ARI,60,6,15,21,-10,16,32,89,23,33,67,28,18,24,214,195,52.32,2022
Josh Leivo,CAR,7,1,2,3,1,1,2,10,0,4,4,1,0,1,0,0,0,2022
Dillon Heatherington,OTT,9,0,0,0,-1,2,7,4,3,2,18,2,0,2,0,0,0,2022
