Player,Tm,Salary,Cap Hit,Year
Frank Vatrano,ANA,"3,650,000","3,650,000",2024
Scott Laughton,PHI,"3,625,000","3,000,000",2024
Ondřej Palát,NJD,"3,580,000","6,000,000",2024
Ilya Samsonov,TOR,"3,550,000","3,550,000",2024
Tyler Toffoli,NJD,"3,500,000","4,250,000",2024
Marc-André Fleury,MIN,"3,500,000","3,500,000",2024
Alex Newhook,MTL,"3,500,000","2,900,000",2024
Joe Pavelski,DAL,"3,500,000","3,500,000",2024
Colton Sissons,NSH,"3,500,000","2,857,143",2024
Trevor Moore,LAK,"3,500,000","4,200,000",2024
Jake Walman,DET,"3,500,000","3,400,000",2024
Vincent Trocheck,NYR,"3,500,000","5,625,000",2024
Filip Chytil,NYR,"3,500,000","4,437,500",2024
Dylan DeMelo,WPG,"3,500,000","3,000,000",2024
Scott Mayfield,NYI,"3,500,000","3,500,000",2024
Evan Bouchard,EDM,"3,500,000","3,900,000",2024
Jonathan Huberdeau,CGY,"3,500,000","10,500,000",2024
Martin Nečas,CAR,"3,500,000","3,000,000",2024
Andrei Kuzmenko,VAN,"3,500,000","5,500,000",2024
Jonathan Marchessault,VEG,"3,500,000","5,000,000",2024
Nicolas Roy,VEG,"3,500,000","3,000,000",2024
Jordan Greenway,BUF,"3,500,000","3,000,000",2024
Derek Forbort,BOS,"3,500,000","3,000,000",2024
Gustav Forsling,FLA,"3,500,000","2,666,667",2024
Jeremy Swayman,BOS,"3,475,000","3,475,000",2024
Jordan Staal,CAR,"3,450,000","2,900,000",2024
Justin Holl,DET,"3,400,000","3,400,000",2024
Sean Walker,PHI,"3,350,000","2,650,000",2024
Connor Clifton,BUF,"3,333,334","3,333,333",2024
Brian Dumoulin,SEA,"3,300,000","3,150,000",2024
Gabriel Vilardi,WPG,"3,275,000","3,437,500",2024
Sean Kuraly,CBJ,"3,250,000","2,500,000",2024
Warren Foegele,EDM,"3,250,000","2,750,000",2024
Miles Wood,COL,"3,250,000","2,500,000",2024
Mario Ferraro,SJS,"3,250,000","3,250,000",2024
Kevin Hayes,STL,"3,250,000","3,571,429",2024
Jason Dickinson,CHI,"3,250,000","2,650,000",2024
Chandler Stephenson,VEG,"3,225,000","2,750,000",2024
Kasperi Kapanen,STL,"3,200,000","3,200,000",2024
Gustav Nyquist,NSH,"3,185,000","3,185,000",2024
Karel Vejmelka,ARI,"3,150,000","2,725,000",2024
Yegor Sharangovich,CGY,"3,100,000","3,100,000",2024
Bowen Byram,COL,"3,080,000","3,850,000",2024
Mats Zuccarello,MIN,"3,000,000","6,000,000",2024
Matt Duchene,DAL,"3,000,000","3,000,000",2024
Justin Schultz,SEA,"3,000,000","3,000,000",2024
Olli Määttä,DET,"3,000,000","3,000,000",2024
Chris Kreider,NYR,"3,000,000","6,500,000",2024
Pierre Engvall,NYI,"3,000,000","3,000,000",2024
Brett Kulak,EDM,"3,000,000","2,750,000",2024
Max Domi,TOR,"3,000,000","3,000,000",2024
Alexander Kerfoot,ARI,"3,000,000","3,500,000",2024
Matias Maccelli,ARI,"3,000,000","3,425,000",2024
Luke Kunin,SJS,"3,000,000","2,750,000",2024
Marco Scandella,STL,"3,000,000","3,275,000",2024
Ivan Barbashev,VEG,"3,000,000","5,000,000",2024
Nick Jensen,WSH,"3,000,000","4,050,000",2024
Sidney Crosby,PIT,"3,000,000","8,700,000",2024
Jeff Carter,PIT,"3,000,000","3,125,000",2024
Brad Marchand,BOS,"3,000,000","6,125,000",2024
Anton Forsberg,OTT,"2,950,000","2,750,000",2024
Frédérick Gaudreau,MIN,"2,950,000","2,100,000",2024
Tyler Seguin,DAL,"2,950,000","9,850,000",2024
Erik Haula,NJD,"2,900,000","3,150,000",2024
Jake Bean,CBJ,"2,900,000","2,333,333",2024
